siteID,siteuse,replsite,lon_WGS84,lat_WGS84,stratum,wgt,ip,caty,FRAME23_ID,PERM_ID,NHDPLUSID,REACHCODE,GNIS_ID,GNIS_NAME,LENGTH_KM,FTYPE,FCODE,HUC4,STREAM_LEV,STRAH_ORD,STRAH_CAL,MEAN_FLOW,WBPERM_ID,MAINPATH,INNETWORK,VISFILT,BORD_RIV,PSTL_CODE,FRAME23,CNTYNAME,STATECTY,EPA_REG,HUC2,HUC2_NM,HUC8,HUC8_NM,MAJ_BASIN,MAJ_BAS_NM,MIS_BASIN,MIS_BAS_NM,WSAREA_KM,NHD100K,URBN_NRS08,URBN_NRS18,URBN_NRS23,FEOW_ID,US_L4CODE,US_L4NAME,US_L3CODE,US_L3NAME,NA_L2CODE,NA_L2NAME,NA_L1CODE,NA_L1NAME,AG_ECO9,AG_ECO9_NM,AG_ECO3,AG_ECO3_NM,OWN_NARS,FS_EW,STRAH_CAT,Shape_Leng,geometry,geometry2,fcode,stream_order
Site-001,Base,None,-73.46203572,42.76017217,1,1067943.304,9.36E-07,None,303165,52815031,1.00E+13,2.02E+12,NA,NA,0.130916415,460,46006,H0202,4,1,1,4.12231406,NA,0,1,250000,Not_Border,NY,Include,Rensselaer,F36083,Region_02,H02,Mid-Atlantic Region,H02020006,Middle Hudson,H02,Mid-Atlantic Region,NMRB,Not Mississippi River Basin,5.48160001,NHD100,Non-Urban,Non-Urban,Non-Urban,118,58ag,Rensselaer Plateau,58,Northeastern Highlands,5.3,ATLANTIC HIGHLANDS,5,NORTHERN FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,SS,130.9164145,c(625844.584942177, 4735329.73871255),46006,1
Site-002,Base,None,-73.50223266,44.54373922,1,1067943.304,9.36E-07,None,180087,115349653,6.00E+13,4.30E+12,NA,NA,0.878410339,460,46003,H0430,7,1,1,1.76717495,NA,0,1,1.00E+05,Not_Border,NY,Include,Clinton,F36019,Region_02,H02,Mid-Atlantic Region,H04300104,Ausable River,H02,Mid-Atlantic Region,NMRB,Not Mississippi River Basin,4.59680002,NHD100,Non-Urban,Non-Urban,Non-Urban,117,83b,Champlain Lowlands,83,Eastern Great Lakes Lowlands,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,SS,878.410339,c(618980.317998814, 4933358.62234041),46003,1
Site-003,Base,None,-75.79068069,43.86248684,1,1067943.304,9.36E-07,None,240967,129632750,6.00E+13,4.14E+12,NA,NA,0.876587926,460,46006,H0414,8,1,1,3.32370356,NA,0,1,1.00E+05,Not_Border,NY,Include,Lewis,F36049,Region_02,H04,Great Lakes Region,H04140102,Salmon-Sandy,H04,Great Lakes Region,NMRB,Not Mississippi River Basin,2.64889997,NHD100,Non-Urban,Non-Urban,Non-Urban,116,58af,Tug Hill Transition,58,Northeastern Highlands,5.3,ATLANTIC HIGHLANDS,5,NORTHERN FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,SS,876.5879255,c(436461.564964422, 4856903.54245125),46006,1
Site-004,Base,None,-77.8939403,43.01730441,1,1067943.304,9.36E-07,None,226659,159048486,6.00E+13,4.13E+12,NA,NA,2.748465124,460,46006,H0413,12,1,1,4.47805767,NA,0,1,250000,Not_Border,NY,Include,Monroe,F36055,Region_02,H04,Great Lakes Region,H04130003,Lower Genesee,H04,Great Lakes Region,NMRB,Not Mississippi River Basin,11.49939996,NHD100,Non-Urban,Non-Urban,Non-Urban,116,83c,Ontario Lowlands,83,Eastern Great Lakes Lowlands,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,SS,2748.465124,c(264178.812110252, 4766801.19484627),46006,1
Site-005,Base,None,-74.2393062,41.76608989,1,1067943.304,9.36E-07,None,115249,61770781,1.00E+13,2.02E+12,NA,NA,0.581573824,460,46006,H0202,4,1,1,1.548345,NA,0,1,0,Not_Border,NY,Include,Ulster,F36111,Region_02,H02,Mid-Atlantic Region,H02020007,Rondout,H02,Mid-Atlantic Region,NMRB,Not Mississippi River Basin,2.2263,NHD100,Non-Urban,Non-Urban,Non-Urban,118,67l,"Northern Glaciated Limestone Ridges, Valleys, and Terraces",67,Ridge and Valley,8.4,OZARK/OUACHITA-APPALACHIAN FORESTS,8,EASTERN TEMPERATE FORESTS,SAP,Southern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,SS,581.5738244,c(563229.254607273, 4624085.57484501),46006,1
Site-006,Base,None,-74.03030239,44.23004706,1,1067943.304,9.36E-07,None,320335,115351155,6.00E+13,4.30E+12,NA,NA,1.744023124,460,46006,H0430,8,1,1,2.68955793,NA,0,1,1.00E+05,Not_Border,NY,Include,Essex,F36031,Region_02,H02,Mid-Atlantic Region,H04300104,Ausable River,H02,Mid-Atlantic Region,NMRB,Not Mississippi River Basin,2.87139997,NHD100,Non-Urban,Non-Urban,Non-Urban,117,58ad,Central Adirondacks,58,Northeastern Highlands,5.3,ATLANTIC HIGHLANDS,5,NORTHERN FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,SS,1744.023124,c(577443.726134351, 4897881.32998607),46006,1
Site-007,Base,None,-74.59093481,43.36257778,1,1067943.304,9.36E-07,None,311165,47695290,1.00E+13,2.02E+12,NA,NA,0.400384141,460,46006,H0202,6,1,1,1.713105,NA,0,1,0,Not_Border,NY,Include,Hamilton,F36041,Region_02,H02,Mid-Atlantic Region,H02020002,Sacandaga,H02,Mid-Atlantic Region,NMRB,Not Mississippi River Basin,1.66060002,NHD100,Non-Urban,Non-Urban,Non-Urban,118,58aa,Acid Sensitive Adirondacks,58,Northeastern Highlands,5.3,ATLANTIC HIGHLANDS,5,NORTHERN FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,SS,400.3841415,c(533145.5255543, 4801160.96430755),46006,1
Site-008,Base,None,-77.65244916,42.79385509,1,1067943.304,9.36E-07,None,208131,42144489,6.00E+13,4.13E+12,954696,Kinney Creek,2.637980287,460,46006,H0413,13,1,1,1.04444812,NA,0,1,1.00E+05,Not_Border,NY,Include,Livingston,F36051,Region_02,H04,Great Lakes Region,H04130003,Lower Genesee,H04,Great Lakes Region,NMRB,Not Mississippi River Basin,2.29030004,NHD100,Non-Urban,Non-Urban,Non-Urban,116,83c,Ontario Lowlands,83,Eastern Great Lakes Lowlands,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,SS,2637.980287,c(283075.805564684, 4741335.61788387),46006,1
Site-009,Base,None,-75.26340504,42.78148368,1,1067943.304,9.36E-07,None,125130,43471061,1.00E+13,2.05E+12,NA,NA,3.17684483,460,46006,H0205,4,1,1,1.3552,NA,0,1,1.00E+05,Not_Border,NY,Include,Madison,F36053,Region_02,H02,Mid-Atlantic Region,H02050101,Upper Susquehanna,H02,Mid-Atlantic Region,NMRB,Not Mississippi River Basin,2.46279999,NHD100,Non-Urban,Non-Urban,Non-Urban,158,60a,Glaciated Low Allegheny Plateau,60,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,SS,3176.84483,c(478454.358667608, 4736583.03379927),46006,1
Site-010,Base,None,-74.2936057,43.90381456,1,1067943.304,9.36E-07,None,143768,89349065,1.00E+13,2.02E+12,NA,NA,2.203760103,460,46006,H0202,4,1,1,3.66795697,NA,0,1,0,Not_Border,NY,Include,Essex,F36031,Region_02,H02,Mid-Atlantic Region,H02020001,Upper Hudson,H02,Mid-Atlantic Region,NMRB,Not Mississippi River Basin,3.79370002,NHD100,Non-Urban,Non-Urban,Non-Urban,118,58aa,Acid Sensitive Adirondacks,58,Northeastern Highlands,5.3,ATLANTIC HIGHLANDS,5,NORTHERN FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,SS,2203.760103,c(556726.005820887, 4861432.32085926),46006,1
